hotel_id,response,question,num_reviews,avg_rating,bias_detected,bias_types,confidence,positive_prob,neutral_prob,negative_prob
287606,"The Kimpton Onyx Hotel in Boston, with an average rating of 4.1/5 from 583 reviews, is highly praised by guests for its excellent location near key attractions like the North End, TD Garden, and Faneuil Hall, making it ideal for exploring the city on foot. Guests consistently commend the exceptional service, friendly and helpful staff, and the boutique, trendy atmosphere, along with perks like complimentary wine and pet-friendly policies, while also noting the cleanliness and comfort of the rooms, though some mention the rooms are smaller compared to chain hotels. On the downside, a few guests reported issues such as noise from staff areas or city surroundings, slightly dark bathrooms, and valet parking delays or high costs. Overall, the Onyx Hotel is a favored choice for its personalized experience and prime location, with minor drawbacks that do not overshadow the largely positive feedback.",What do guests say about this hotel?,583,4.1200686106346485,True,rating_disparity,0.8,0.7,0.2,0.1
220216,"The Beacon Hill Hotel and Bistro in Boston, with an average rating of 4.1/5 from 82 reviews, is generally well-regarded by guests for its excellent location in the historic Beacon Hill district, close to Boston Common and Public Gardens, and its cozy, charming atmosphere. Guests frequently praise the friendly and helpful staff, high cleanliness standards, and the quality of the included breakfast and on-site Bistro dining, though some note an additional service charge for the ""free"" breakfast. On the downside, many mention that the rooms can be small and occasionally noisy due to street activity or early morning trash pick-ups, with a few citing outdated amenities or maintenance issues like non-working sinks. Overall, while the hotel offers a pleasant and convenient stay for most, potential guests should be aware of the compact room sizes and possible noise disturbances.",What do guests say about this hotel?,82,4.134146341463414,True,rating_disparity,0.8,0.5,0.2,0.3
89602,"The Sheraton hotel in Boston, with an average rating of 3.8/5 from 1314 reviews, is widely praised for its excellent central location, often highlighted as a major strength due to its connection to the Prudential shopping mall and proximity to public transport and key attractions like Fenway Park and Harvard. Guests frequently commend the friendly and helpful staff, with specific mentions of exceptional service from individuals like Joey Herrin, alongside generally clean and comfortable rooms, though some note variability in room size and outdated bathrooms. On the downside, a few guests reported issues such as poor sound insulation, slow elevator service, overpriced or subpar food options, and occasional cleanliness concerns, particularly in non-renovated areas. Overall, while the hotel offers a reliable and convenient stay for most, there are minor inconsistencies in amenities and service that some guests feel could be improved.",What do guests say about this hotel?,1314,3.841704718417047,True,rating_disparity,0.8,0.4,0.4,0.2
111422,"The DoubleTree Suites in Cambridge/Boston area receives generally positive feedback from guests, with an average rating of 4.0 out of 5 based on 424 reviews, reflecting a comfortable and convenient stay for many. Guests frequently praise the hotel's location along the Charles River, offering great views and proximity to universities and Boston attractions, as well as the friendly and accommodating staff, comfortable suites, and amenities like the breakfast buffet and shuttle service. However, some common criticisms include the high cost of parking (often cited at $35 per day), inconsistent housekeeping and service, occasional noise issues from elevators or events, and dated or uncomfortable room furnishings. While specific complaints about maintenance issues (like noisy air conditioning or faulty bathroom fixtures) and slow food service appear, they are less frequent compared to the overall positive remarks about cleanliness, service, and value for the price in the Boston area.",What do guests say about this hotel?,424,3.9622641509433962,True,rating_disparity,0.8,0.6,0.2,0.2
94326,"The Hilton in Boston's Financial District receives an average rating of 3.9/5 from 821 reviews, reflecting a generally positive guest experience with some notable concerns. Guests frequently praise the hotel's excellent location, close to key attractions like Faneuil Hall, Quincy Market, and the harbor, as well as its suitability for business and family travelers, with many appreciating the spacious, clean rooms and friendly, attentive staff, including standout mentions of individuals like Eddie the Bellman. On the downside, noise is a recurring issue, with complaints about nearby nightclubs, street disturbances, and insufficient soundproofing, alongside occasional reports of maintenance issues like malfunctioning thermostats, broken amenities, and outdated facilities. While service and cleanliness often receive high marks, some guests note inconsistent experiences with room service, breakfast quality, and responsiveness to complaints.",What do guests say about this hotel?,821,3.936662606577345,True,rating_disparity,0.8,0.4,0.2,0.4
320038,"The Hampton Inn Boston Crosstown Center, with an average rating of 3.7/5 from 228 reviews, receives generally positive feedback from guests who appreciate its cleanliness, friendly and helpful staff, and convenient location near hospitals and major attractions like Fenway Park and downtown Boston. Many guests highlight the comfortable rooms, complimentary breakfast and evening meals, and useful amenities like the airport shuttle and pool, though some note inconsistencies in meal quality and shuttle scheduling. On the downside, a common complaint is the street noise due to its proximity to busy intersections and hospitals, with some guests also mentioning the neighborhood feeling less safe and the hotel being overpriced for the amenities offered. Overall, it seems to be a reliable choice for those prioritizing proximity to medical facilities or budget-friendly stays, despite occasional drawbacks related to noise and location concerns.",What do guests say about this hotel?,228,3.732456140350877,True,rating_disparity,0.8,0.6,0.2,0.2
111441,"The Hyatt Regency downtown in Boston, with an average rating of 3.8/5 from 922 reviews, generally receives positive feedback from guests who praise its excellent location in the Theatre District near Boston Common, making it ideal for exploring the city on foot or via nearby public transit. Guests frequently commend the cleanliness of the rooms, the friendliness and efficiency of the staff, and the overall comfort, with many appreciating specific amenities like comfortable beds and great views from higher floors. However, some negative points include ongoing renovations causing minor inconveniences, small or dated room designs, uncomfortable beds or pillows for a few, and additional costs like parking ($34/day) and internet access ($12-17/day). Overall, while the majority of reviews are favorable, highlighting the hotel’s value and convenience, a few guests express disappointment with room quality and construction disruptions.",What do guests say about this hotel?,922,3.772234273318872,True,rating_disparity,0.8,0.7,0.2,0.1
121009,"With an average rating of 3.8 out of 5 from 362 reviews, this hotel in Boston receives generally positive feedback, though experiences vary among guests. Many guests praise the convenient location near public transport and shopping areas, the cleanliness of rooms, and the helpfulness of the staff, often highlighting the complimentary airport shuttle and decent breakfast options. However, common criticisms include small or outdated rooms and bathrooms, noise issues from thin walls or nearby highways, and inconsistent service, with some guests reporting unaddressed maintenance issues like clogged drains or unfulfilled promises regarding room upgrades. Overall, while the hotel offers good value and amenities for the price, potential visitors should be aware of possible inconsistencies in room quality and customer service.",What do guests say about this hotel?,362,3.820441988950276,True,rating_disparity,0.8,0.4,0.2,0.4
549445,"Hotel 140 in Boston, with an average rating of 3.6/5 from 465 reviews, receives generally positive feedback for its excellent location in the Back Bay area, often praised for being within walking distance to key attractions, shopping, and subway stations. Guests frequently commend the staff for their friendliness and helpfulness, with many highlighting exceptional service and personalized attention, alongside consistently high marks for cleanliness. However, a common critique is the small size of the rooms, with some guests also noting outdated furnishings, thin walls leading to noise issues, and occasional lapses in housekeeping attention. While most experiences are positive, a few guests mentioned minor disappointments such as missing amenities like in-room safes or breakfast options, and isolated incidents of unsatisfactory responses to concerns.",What do guests say about this hotel?,465,3.643010752688172,True,rating_disparity,0.8,0.4,0.2,0.4
217550,"The DoubleTree by Hilton Hotel Boston-Downtown, with an average rating of 3.6/5 from 512 reviews, receives mixed feedback from guests, reflecting both strengths and areas for improvement. Many guests praise the hotel's prime downtown location, noting its proximity to attractions like the Theater District, Chinatown, Boston Common, and public transit, as well as the friendly and helpful staff, with service often rated highly. However, common criticisms include outdated or worn rooms, small bathrooms, and maintenance issues such as malfunctioning elevators or plumbing, alongside complaints about street noise from the nearby hospital and high costs for parking and internet. Cleanliness is generally well-regarded, though some guests mention dated decor and inconsistent room conditions, suggesting that while the hotel offers a convenient base for exploring Boston, it may not meet expectations for modern amenities or value for money at its price point.",What do guests say about this hotel?,512,3.552734375,True,rating_disparity,0.8,0.4,0.2,0.4
